id,gender,nationality,level,years,like_online,hours,learned,improve,interest,all_chinese_online,online_required,online_elective,has_internet,speed,can_replace,easy_tencent_meeting,easy_wechat,use_tencent_meeting,use_zoom,use_wechat,blocked_qq,blocked_chaoxing,blocked_dingtalk,blocked_mooc,available_zoom,available_whatsapp,available_tencent_meeting,available_wechat,prob_unstable_net,prob_no_power,prob_no_signal,prob_no_time,home_affect_very,interact_qa,interact_dialogue,interact_game,interact_scenario,interact_roleplay,home_noise,home_affect,work,stress,interact,content_volume,time_sat,prefer_minutes,in_china_ip,device,submit_date
11,male,Pakistan,advanced,3-4,2.0,3.0,2.0,2.0,1.0,1,0,1,1,2.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,noisy,2.0,full-time,2.0,1.0,2.0,2.0,45.0,0,iphone,2022-02-05
12,female,Pakistan,advanced,5-6,2.0,3.0,2.0,2.0,2.0,1,1,1,1,2.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,quiet,1.0,full-time,2.0,2.0,2.0,2.0,45.0,1,iphone,2022-02-05
13,female,Pakistan,intermediate,3-4,3.0,1.0,3.0,3.0,2.0,1,1,1,1,2.0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,quiet,,study-only,2.0,2.0,3.0,2.0,30.0,0,iphone,2022-02-05
14,male,Pakistan,advanced,3-4,4.0,2.0,4.0,4.0,4.0,1,1,0,1,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,quiet,1.0,work-and-study,1.0,3.0,1.0,5.0,30.0,0,iphone,2022-02-05
15,male,Pakistan,advanced,3-4,4.0,2.0,2.0,3.0,4.0,1,1,1,1,4.0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,lively,1.0,work-and-study,1.0,3.0,2.0,4.0,,0,iphone,2022-02-05
16,male,Pakistan,advanced,3-4,1.0,2.0,1.0,2.0,1.0,1,1,1,1,4.0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,quiet,2.0,study-only,2.0,2.0,3.0,2.0,30.0,0,iphone,2022-02-05
17,male,Pakistan,advanced,3-4,3.0,2.0,2.0,2.0,2.0,1,1,1,1,3.0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,lively,3.0,study-only,3.0,2.0,3.0,1.0,45.0,1,iphone,2022-02-05
18,male,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,1.0,1,1,1,1,3.0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,lively,2.0,work-and-study,4.0,1.0,1.0,2.0,45.0,1,iphone,2022-02-05
19,male,other,advanced,5-6,2.0,2.0,2.0,3.0,2.0,1,1,1,1,2.0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,lively,2.0,study-only,3.0,1.0,1.0,2.0,60.0,1,android,2022-02-05
20,male,Pakistan,intermediate,3-4,3.0,3.0,3.0,3.0,3.0,1,1,1,1,3.0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,quiet,,work-and-study,1.0,3.0,2.0,3.0,30.0,0,android,2022-02-05
21,male,Pakistan,intermediate,3-4,2.0,2.0,2.0,3.0,2.0,1,0,1,1,1.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,noisy,1.0,study-only,2.0,2.0,2.0,2.0,45.0,0,iphone,2022-02-05
22,female,Pakistan,advanced,5-6,4.0,4.0,2.0,2.0,3.0,0,0,0,1,3.0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,lively,1.0,study-only,1.0,2.0,2.0,4.0,45.0,1,iphone,2022-02-05
23,male,Pakistan,intermediate,3-4,2.0,2.0,1.0,1.0,2.0,1,1,0,1,1.0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,noisy,1.0,full-time,1.0,2.0,1.0,1.0,45.0,0,iphone,2022-02-05
24,female,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,2.0,1,1,0,1,3.0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,lively,2.0,study-only,2.0,2.0,2.0,2.0,60.0,0,iphone,2022-02-06
25,male,Pakistan,advanced,3-4,2.0,1.0,1.0,1.0,1.0,1,0,1,1,2.0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,quiet,1.0,full-time,1.0,1.0,1.0,2.0,30.0,0,android,2022-02-06
26,male,Pakistan,advanced,3-4,4.0,2.0,3.0,4.0,3.0,1,0,1,0,4.0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,lively,,work-and-study,1.0,2.0,2.0,4.0,45.0,0,iphone,2022-02-06
27,male,Pakistan,advanced,3-4,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,quiet,2.0,full-time,3.0,2.0,3.0,3.0,45.0,0,iphone,2022-02-06
28,male,Pakistan,intermediate,1-2,1.0,1.0,2.0,1.0,1.0,1,1,1,1,1.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,noisy,1.0,part-time,1.0,1.0,1.0,1.0,60.0,0,android,2022-02-06
29,male,Pakistan,intermediate,3-4,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1.0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,noisy,1.0,study-only,1.0,1.0,1.0,1.0,60.0,0,android,2022-02-06
30,male,Pakistan,advanced,3-4,3.0,3.0,4.0,4.0,3.0,0,0,1,1,4.0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,noisy,1.0,part-time,2.0,3.0,2.0,3.0,30.0,0,iphone,2022-02-06
31,male,Pakistan,intermediate,5-6,2.0,2.0,3.0,2.0,2.0,1,1,0,1,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,noisy,2.0,study-only,2.0,2.0,2.0,3.0,45.0,0,android,2022-02-06
32,male,Pakistan,intermediate,3-4,2.0,2.0,3.0,2.0,3.0,0,1,1,1,2.0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,quiet,3.0,study-only,3.0,2.0,3.0,2.0,45.0,0,android,2022-02-06
33,female,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,1.0,1,0,1,1,2.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,noisy,4.0,study-only,2.0,3.0,2.0,3.0,30.0,0,android,2022-02-07
34,male,Pakistan,intermediate,3-4,2.0,2.0,1.0,1.0,1.0,1,1,0,1,1.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,noisy,1.0,part-time,1.0,2.0,2.0,2.0,45.0,0,iphone,2022-02-07
35,male,Pakistan,advanced,6+,4.0,1.0,2.0,3.0,4.0,1,1,1,1,4.0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,lively,2.0,study-only,3.0,3.0,3.0,2.0,45.0,1,android,2022-02-07
36,male,Pakistan,advanced,1-2,3.0,4.0,1.0,2.0,2.0,1,1,0,1,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,lively,2.0,work-and-study,2.0,3.0,2.0,3.0,45.0,0,android,2022-02-07
37,male,Pakistan,intermediate,3-4,1.0,2.0,2.0,3.0,3.0,1,0,1,0,2.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,noisy,2.0,full-time,2.0,3.0,2.0,2.0,30.0,0,iphone,2022-02-08
38,female,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,2.0,1,1,1,1,3.0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,lively,1.0,study-only,1.0,2.0,2.0,2.0,30.0,0,iphone,2022-02-08
